day_number,Lat,Long,Hmax,Tp,Dirp,Sprp,Tz,Hs,TSea
1,53.63612,0.26432,2.54,5.56,156.1,29.3,4.494,1.13,7.0
2,54.6488385,-1.0853035,0.426,12.9175,26.560000000000002,19.935,4.773899999999999,0.263,5.5325
3,54.648865,-1.085925625,1.0533333333333335,11.416458333333333,33.16041666666667,18.508333333333333,3.8683125,0.6843750000000001,5.6156250000000005
4,54.648657500000006,-1.0859660416666668,1.0664583333333333,10.118125,41.3375,12.775,4.7625416666666665,0.7152083333333333,5.7437499999999995
5,54.64879083333333,-1.0858468749999999,2.0241666666666664,7.661874999999999,59.03541666666666,15.304166666666667,5.264562499999999,1.2658333333333334,5.872916666666666
6,54.648653125,-1.0853341666666667,1.7858333333333334,8.156875000000001,60.97708333333333,16.33125,5.608791666666666,1.1710416666666668,5.897916666666667
7,54.64867708333333,-1.0852629166666665,0.8275,12.193125,46.96458333333334,27.835416666666664,3.5690000000000004,0.5599999999999999,5.802083333333333
8,54.648780625,-1.0851391666666668,0.656875,16.115833333333335,39.520833333333336,34.956250000000004,2.7105,0.47270833333333334,5.922916666666667
9,54.64873333333333,-1.0852656250000001,0.5316666666666666,9.11375,128.99375,29.039583333333336,2.7637916666666666,0.3672916666666666,6.01875
10,54.64863666666667,-1.085310625,0.5095833333333334,15.940208333333333,29.03958333333333,28.772916666666664,4.562229166666667,0.3389583333333333,6.0062500000000005
11,54.648535833333334,-1.085350625,0.8181250000000001,9.556041666666667,140.77083333333334,21.662499999999998,4.197604166666667,0.5377083333333333,5.966666666666666
12,54.648732083333336,-1.085393125,1.360625,14.022291666666668,23.695833333333336,18.818749999999998,4.810208333333333,0.890625,5.860416666666667
13,54.6487775,-1.0851729166666668,1.1854166666666666,13.617083333333333,23.229166666666668,24.485416666666666,3.7308333333333334,0.7808333333333333,5.8343750000000005
14,54.64863979166666,-1.0849191666666667,0.9102083333333333,11.263333333333334,103.59583333333335,29.354166666666668,3.0255625,0.6154166666666666,5.824999999999999
15,54.64871604166667,-1.0852083333333333,0.6804166666666666,12.151874999999999,26.416666666666668,20.439583333333335,4.9213125,0.44875,5.8531249999999995
16,54.648625208333335,-1.0849364583333332,0.7945833333333333,7.363958333333333,161.09791666666666,25.260416666666668,3.219333333333333,0.5302083333333333,5.9750000000000005
17,54.648767291666665,-1.08487625,0.71875,16.68375,29.585416666666664,25.541666666666668,3.9771666666666667,0.47937500000000005,5.844791666666667
18,54.64892020833333,-1.0852627083333333,0.7712500000000001,14.940624999999999,56.875,32.020833333333336,3.0006041666666667,0.5329166666666666,5.966666666666666
19,54.64878229166666,-1.0848416666666667,0.8589583333333333,7.429166666666667,184.42499999999998,25.295833333333334,2.8943958333333337,0.5827083333333333,6.0687500000000005
20,54.648698958333334,-1.084889375,0.7658333333333333,11.647291666666668,106.99374999999999,32.4,3.0342083333333334,0.5258333333333333,5.919791666666666
21,54.64876854166667,-1.0849247916666667,0.6433333333333333,4.571666666666666,194.32500000000002,26.360416666666666,2.57875,0.44645833333333335,5.8625
22,54.64860208333334,-1.0850008333333334,1.4545833333333331,5.210208333333333,205.02916666666667,18.410416666666666,3.9788125,0.9314583333333334,5.871875
23,54.648725625,-1.0850260416666666,0.6783333333333333,5.423958333333334,121.21041666666667,25.616666666666664,3.2701666666666664,0.460625,5.869791666666667
24,54.648778541666665,-1.0850781250000001,0.6172916666666667,14.941249999999998,83.43958333333333,34.69583333333333,2.645770833333333,0.43250000000000005,5.907291666666667
25,54.64885458333333,-1.0852035416666668,0.7206250000000001,7.056250000000001,165.20833333333334,25.710416666666664,2.5930833333333334,0.508125,6.034375
