day_number,AN1_50S_WS_Avg,AN2_50N_WS_Avg,AN3_30S_WS_Avg,AN4_10S_WS_Avg,AN1_50S_WS_Std,AN2_50N_WS_Std,AN3_30S_WS_Std,AN4_10S_WS_Std,AN1_50S_WS_3SA_Max,AN2_50N_WS_3SA_Max,AN3_30S_WS_3SA_Max,AN4_10S_WS_3SA_Max,WV1_48N_WD_AVG,WV1_48N_WV_STD,WV2_28N_WD_AVG,WV2_28N_WV_STD,WV3_8N_WD_AVG,WV3_8N_WV_STD,ANx_80_WS_min_Avg,ANx_80_WS_Avg,ANx_80_WS_max_Avg,TRH1_50_TMP_Avg,TRH1_50_RH_Avg,TRH2_10_RH_Avg,BAR1_50_PRES_Avg,BAR2_10_PRES_Avg
11,6.059787234042553,6.058787234042553,5.8836382978723405,5.549765957446809,0.47312765957446806,0.4928297872340426,0.4729574468085106,0.5241489361702129,7.226212765957447,7.249893617021277,7.022765957446809,6.850914893617021,215.63617021276596,4.278829787234042,216.97234042553194,4.521617021276596,238.9340425531915,6.081936170212766,4.748702127659574,6.291297872340425,7.842617021276596,12.90787234042553,80.89340425531914,82.47276595744681,1014.8723404255319,1019.1489361702128
12,7.172666666666667,7.169958333333334,6.8426875,6.190083333333334,0.6642291666666666,0.6686458333333333,0.6455833333333333,0.7383541666666668,8.8805,8.872166666666667,8.534125,8.0480625,215.79166666666666,4.9119166666666665,215.62291666666667,5.0246249999999995,233.5895833333333,6.9742291666666665,5.5453125000000005,7.580291666666667,9.6368125,12.955,84.50395833333333,84.87208333333334,1000.2708333333334,1004.7083333333334
13,5.60775,5.6070625000000005,5.463979166666667,5.2526874999999995,0.47950000000000004,0.5009583333333333,0.47925,0.5610416666666667,6.799145833333333,6.871958333333333,6.605604166666667,6.5406249999999995,260.58160416666664,5.1308750000000005,258.09616666666665,4.952333333333333,266.5037916666667,8.693875,3.9806666666666666,5.806625,7.69025,10.946041666666666,86.79833333333333,87.30895833333334,995.1666666666666,999.4583333333334
14,7.210617021276596,7.171617021276597,7.001914893617021,6.691319148936171,0.7297234042553191,0.7561063829787233,0.6717872340425532,0.6909574468085107,8.947170212765958,8.971170212765957,8.645744680851065,8.436212765957446,227.75531914893617,6.061212765957447,227.4255319148936,6.078127659574467,245.7127659574468,7.40736170212766,5.4401063829787235,7.493765957446809,9.624744680851064,12.370212765957445,80.99723404255319,81.68255319148936,1000.0,1004.2765957446809
15,9.473148936170213,9.127212765957447,9.140382978723405,8.821872340425532,0.8723617021276595,1.0064468085106382,0.847127659574468,0.8478936170212765,11.644319148936171,11.569510638297874,11.370914893617021,11.020893617021276,231.5,4.779702127659574,232.68085106382978,5.114808510638298,252.3553191489362,6.908234042553191,7.245404255319149,9.71559574468085,12.216085106382979,12.450425531914894,72.25255319148935,74.41531914893616,1001.4042553191489,1005.5957446808511
16,7.163458333333334,7.054833333333334,6.905645833333334,6.7043125,0.6373125000000001,0.698,0.6428125,0.65725,8.663166666666667,8.707020833333333,8.46475,8.378166666666667,245.8708333333333,5.132979166666667,244.91666666666666,5.216583333333333,261.6458333333333,6.995145833333333,5.3226249999999995,7.381125,9.476354166666667,12.018333333333333,72.42937500000001,74.970625,1012.9791666666666,1017.3333333333334
17,3.4836458333333336,3.4477708333333332,3.494979166666667,3.3892291666666665,0.27387500000000004,0.2806875,0.277375,0.2828541666666667,4.089645833333333,4.074791666666667,4.089958333333334,4.054291666666667,187.37020833333335,5.671937499999999,177.33,5.6769791666666665,201.149375,5.210958333333333,2.4289375,3.5741666666666667,4.920375,12.533125,78.15020833333334,82.69562499999999,1022.5416666666666,1027.0416666666667
18,4.337479166666667,4.1785000000000005,4.232395833333333,4.036520833333333,0.2791666666666667,0.32283333333333336,0.334,0.34125,4.988479166666667,4.9158333333333335,4.971354166666667,4.849166666666666,189.22270833333334,4.195895833333333,193.41895833333334,4.126895833333333,215.16875000000002,6.387895833333332,2.9915833333333333,4.4571250000000004,6.0027083333333335,10.963645833333333,87.698125,90.58333333333333,1028.4166666666667,1033.0416666666667
19,3.6217916666666667,3.5273958333333333,3.4637083333333334,3.24975,0.35933333333333334,0.3920416666666667,0.35818750000000005,0.3720625,4.4824166666666665,4.443666666666666,4.313916666666667,4.1225625,194.67375,9.127270833333332,192.5979166666667,8.554333333333334,215.50541666666666,9.433,2.504625,3.7648333333333333,5.322729166666666,11.843541666666667,89.31458333333335,90.57333333333334,1030.8958333333333,1035.6458333333333
20,3.6415208333333333,3.588354166666667,3.502541666666666,3.1302083333333335,0.32027083333333334,0.3163958333333333,0.321375,0.33227083333333335,4.421625,4.37525,4.255916666666667,3.9341458333333335,157.28979166666667,6.5021458333333335,160.28062500000001,7.558520833333334,178.26,8.336583333333333,2.4335625,3.849458333333333,5.574895833333334,12.200416666666667,89.07208333333334,92.46875,1031.25,1035.7708333333333
21,3.7985208333333333,3.7366041666666665,3.4737500000000003,3.3232083333333335,0.27897916666666667,0.2686458333333333,0.29941666666666666,0.3108958333333333,4.46575,4.415145833333333,4.2474375,4.0363125,136.238125,5.149729166666667,149.129375,8.153958333333334,173.713125,6.523958333333333,2.7896875,3.8945833333333333,5.9835416666666665,12.254791666666668,85.115,89.049375,1030.6458333333333,1035.1666666666667
